institution,city,state,carnegie_basic,campus
Mission College,Santa Clara,CA,2,
Modern Beauty Academy,Oxnard,CA,-2,
Modesto Junior College,Modesto,CA,14,
Moler Barber College,Oakland,CA,-2,
Middlebury Institute of International Studies at Monterey,Monterey,CA,18,
Monterey Peninsula College,Monterey,CA,2,
Moorpark College,Moorpark,CA,1,
Mt San Antonio College,Walnut,CA,4,
Mount Saint Mary's University,Los Angeles,CA,18,
Mt San Jacinto Community College District,San Jacinto,CA,4,
Musicians Institute,Hollywood,CA,30,
Napa Valley College,Napa,CA,1,
National Holistic Institute,Emeryville,CA,-2,
National University,San Diego,CA,18,
Naval Postgraduate School,Monterey,CA,18,
Newschool of Architecture and Design,San Diego,CA,20,
North Adrian's College of Beauty Inc,Modesto,CA,-2,
North-West College-Pomona,Pomona,CA,-2,
North-West College-West Covina,West Covina,CA,10,
North-West College-Van Nuys,Van Nuys,CA,-2,
San Francisco Bay University,Fremont,CA,28,
Notre Dame de Namur University,Belmont,CA,19,
Occidental College,Los Angeles,CA,21,
Ohlone College,Fremont,CA,8,
Orange Coast College,Costa Mesa,CA,1,
Otis College of Art and Design,Los Angeles,CA,30,
Oxnard College,Oxnard,CA,1,
Hope International University,Fullerton,CA,19,
Concorde Career College-San Diego,San Diego,CA,10,
Palo Alto University,Palo Alto,CA,26,
Pacific Oaks College,Pasadena,CA,19,
Pacific School of Religion,Berkeley,CA,24,
Pacific States University,Los Angeles,CA,29,
Pacific Union College,Angwin,CA,22,
University of the Pacific,Stockton,CA,17,
Palo Verde College,Blythe,CA,2,
Palomar College,San Marcos,CA,4,
Pasadena City College,Pasadena,CA,1,
Pepperdine University,Malibu,CA,17,
Pitzer College,Claremont,CA,21,
Platt College-San Diego,San Diego,CA,30,
Point Loma Nazarene University,San Diego,CA,18,
Pomona College,Claremont,CA,21,
Porterville College,Porterville,CA,7,
Professional Institute of Beauty,El Monte,CA,-2,
Santa Ana College,Santa Ana,CA,14,
Pardee RAND Graduate School,Santa Monica,CA,32,
Shasta School of Cosmetology,Redding,CA,-2,
University of Redlands,Redlands,CA,18,
College of the Redwoods,Eureka,CA,7,
Salon Success Academy-Upland,Upland,CA,-2,
Salon Success Academy-Corona,Corona,CA,-2,
Rio Hondo College,Whittier,CA,14,
Riverside City College,Riverside,CA,1,
Dongguk University Los Angeles,Los Angeles,CA,26,
Sacramento City College,Sacramento,CA,4,
Saddleback College,Mission Viejo,CA,2,
Samuel Merritt University,Oakland,CA,26,
San Diego City College,San Diego,CA,3,
San Diego Mesa College,San Diego,CA,14,
San Diego Miramar College,San Diego,CA,3,
San Diego State University,San Diego,CA,16,
University of San Diego,San Diego,CA,16,
San Francisco Conservatory of Music,San Francisco,CA,30,
San Francisco State University,San Francisco,CA,16,
University of San Francisco,San Francisco,CA,17,
San Joaquin College of Law,Clovis,CA,31,
San Joaquin Delta College,Stockton,CA,4,
San Joaquin Valley College-Visalia,Visalia,CA,26,
San Joaquin Valley College-Bakersfield,Bakersfield,CA,9,
William Jessup University,Rocklin,CA,19,
San Jose City College,San Jose,CA,5,
San Jose State University,San Jose,CA,18,
College of San Mateo,San Mateo,CA,2,
Santa Barbara City College,Santa Barbara,CA,1,
Santa Clara University,Santa Clara,CA,17,
Santa Monica College,Santa Monica,CA,14,
Santa Rosa Junior College,Santa Rosa,CA,2,
Saybrook University,Pasadena,CA,17,
Scripps College,Claremont,CA,21,
College of the Sequoias,Visalia,CA,1,
Shasta Bible College and Graduate School,Redding,CA,24,
Shasta College,Redding,CA,14,
Sierra College,Rocklin,CA,4,
Sierra College of Beauty,Merced,CA,-2,
Trinity Law School,Santa Ana,CA,31,
Simpson University,Redding,CA,21,
College of the Siskiyous,Weed,CA,5,
Charles A Jones Career and Education Center,Sacramento,CA,-2,
Skyline College,San Bruno,CA,14,
San Bernardino Valley College,San Bernardino,CA,4,
Saint Mary's College of California,Moraga,CA,18,
Solano Community College,Fairfield,CA,14,
Sonoma State University,Rohnert Park,CA,18,
South Baylo University,Anaheim,CA,26,
South Coast College,Orange,CA,13,
Vanguard University of Southern California,Costa Mesa,CA,19,
Concorde Career College-Garden Grove,Garden Grove,CA,10,
Southwestern College,Chula Vista,CA,1,0
Southwestern College,Winfield,KS,22,1
Southwestern College,Santa Fe,NM,26,2
Starr King School for the Ministry,Oakland,CA,24,
Marshall B Ketchum University,Fullerton,CA,26,
Southern California Institute of Architecture,Los Angeles,CA,32,
University of Southern California,Los Angeles,CA,15,
Southwestern Law School,Los Angeles,CA,31,
Taft College,Taft,CA,3,
Claremont School of Theology,Claremont,CA,24,
Thomas Aquinas College,Santa Paula,CA,21,
Epic Bible College & Graduate School,Sacramento,CA,-2,
UEI College-Huntington Park,Huntington Park,CA,-2,
Concorde Career College-San Bernardino,San Bernardino,CA,10,
Concorde Career College-North Hollywood,North Hollywood,CA,10,
Ventura College,Ventura,CA,1,
The Colleges of Law at Ventura,Ventura,CA,31,
Bridges Beauty College,Victorville,CA,-2,
Victor Valley College,Victorville,CA,5,
Berkeley City College,Berkeley,CA,3,
Walden University,Minneapolis,MN,17,
Waynes College of Beauty,Salinas,CA,-2,
West Hills College-Coalinga,Coalinga,CA,6,
West Los Angeles College,Culver City,CA,14,
West Valley College,Saratoga,CA,2,
Carrington College-Sacramento,Sacramento,CA,10,
Westminster Theological Seminary in California,Escondido,CA,24,
Westmont College,Santa Barbara,CA,21,
Whittier College,Whittier,CA,21,
Woodbury University,Burbank,CA,20,
The Wright Institute,Berkeley,CA,26,
Thomas Jefferson School of Law,San Diego,CA,31,
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,Los Angeles,CA,24,
Yuba College,Marysville,CA,8,
Adams State University,Alamosa,CO,18,
Aims Community College,Greeley,CO,3,
Arapahoe Community College,Littleton,CO,6,
Bel-Rea Institute of Animal Technology,Denver,CO,10,
University of Colorado Denver/Anschutz Medical Campus,Denver,CO,15,
University of Colorado Colorado Springs,Colorado Springs,CO,16,
Spartan College of Aeronautics and Technology,Broomfield,CO,11,0
Spartan College of Aeronautics and Technology,Tulsa,OK,23,1
Spartan College of Aeronautics and Technology,Riverside,CA,-2,2
University of Colorado Boulder,Boulder,CO,15,
Colorado Christian University,Lakewood,CO,18,
Colorado College,Colorado Springs,CO,21,
Concorde Career College-Aurora,Aurora,CO,10,
Colorado Mountain College,Glenwood Springs,CO,23,
Colorado Northwestern Community College,Rangely,CO,5,
Colorado School of Mines,Golden,CO,15,
Colorado School of Trades,Lakewood,CO,11,
Colorado State University-Fort Collins,Fort Collins,CO,15,
Colorado Technical University-Colorado Springs,Colorado Springs,CO,17,
Community College of Aurora,Aurora,CO,3,
Technical College of the Rockies,Delta,CO,-2,
Community College of Denver,Denver,CO,14,
Lincoln College of Technology-Denver,Denver,CO,11,
Denver Seminary,Littleton,CO,19,
University of Denver,Denver,CO,15,
Emily Griffith Technical College,Denver,CO,-2,
Fort Lewis College,Durango,CO,22,
Front Range Community College,Westminster,CO,6,
Iliff School of Theology,Denver,CO,24,
International Salon and Spa Academy,Colorado Springs,CO,-2,
Lamar Community College,Lamar,CO,5,
Colorado Mesa University,Grand Junction,CO,22,
Metropolitan State University of Denver,Denver,CO,18,
Morgan Community College,Fort  Morgan,CO,9,
Naropa University,Boulder,CO,19,
Nazarene Bible College,Colorado Springs,CO,24,
Northeastern Junior College,Sterling,CO,5,
University of Northern Colorado,Greeley,CO,17,
Otero College,La Junta,CO,8,
Pikes Peak State College,Colorado Springs,CO,14,
Pueblo Community College,Pueblo,CO,14,
Red Rocks Community College,Lakewood,CO,14,
Regis University,Denver,CO,17,
Rocky Mountain College of Art and Design,Lakewood,CO,22,
Montessori Education Center of the Rockies,Denver,CO,-2,
Colorado State University Pueblo,Pueblo,CO,19,
Pickens Technical College,Aurora,CO,-2,
Intellitec College-Colorado Springs,Colorado Springs,CO,11,
Intellitec College-Grand Junction,Grand Junction,CO,11,
Trinidad State College,Trinidad,CO,5,
United States Air Force Academy,USAF Academy,CO,22,
Empire Beauty School-Thornton,Thornton,CO,-2,
Western Colorado University,Gunnison,CO,19,
Albertus Magnus College,New Haven,CT,19,
Asnuntuck Community College,Enfield,CT,8,
Bais Binyomin Academy,Monsey,NY,-2,
University of Bridgeport,Bridgeport,CT,17,
Central Connecticut State University,New Britain,CT,18,
Charter Oak State College,New Britain,CT,21,
Cortiva Institute,Cromwell,CT,-2,0
Cortiva Institute,St. Petersburg,FL,-2,1
Cortiva Institute,King of Prussia,PA,-2,2
Cortiva Institute,Pompano Beach,FL,-2,3
Cortiva Institute,Linthicum,MD,-2,4
Cortiva Institute,Maitland,FL,-2,5
Connecticut College,New London,CT,21,
Porter & Chester Institute of Hamden,Hamden,CT,-2,
University of Connecticut,Storrs,CT,15,
Goodwin University,East Hartford,CT,23,
Lincoln Technical Institute-East Windsor,East Windsor,CT,-2,
Eastern Connecticut State University,Willimantic,CT,20,
Fairfield University,Fairfield,CT,17,
Paul Mitchell the School-North Haven,North Haven,CT,-2,
Capital Community College,Hartford,CT,8,
Rensselaer at Hartford,Hartford,CT,28,
American Institute-West Hartford,West Hartford,CT,-2,
Hartford International University for Religion and Peace,Hartford,CT,20,
University of Hartford,West Hartford,CT,17,
Holy Apostles College and Seminary,Cromwell,CT,19,
Housatonic Community College,Bridgeport,CT,4,
Manchester Community College,Manchester,CT,4,0
Manchester Community College,Manchester,NH,6,1
Naugatuck Valley Community College,Waterbury,CT,4,
Middlesex Community College,Middletown,CT,5,0
Middlesex Community College,Bedford,MA,2,1
Mitchell College,New London,CT,22,
Three Rivers Community College,Norwich,CT,4,
Lincoln Technical Institute-New Britain,New Britain,CT,-2,
New England Tractor Trailer Training School of Connecticut,Somers,CT,-2,
University of New Haven,West Haven,CT,18,
Norwalk Community College,Norwalk,CT,5,
Northwestern Connecticut Community College,Winsted,CT,4,
Paier College,Bridgeport,CT,22,
Porter & Chester Institute,Bridgeport,CT,-2,
Post University,Waterbury,CT,18,
Quinebaug Valley Community College,Danielson,CT,4,
Quinnipiac University,Hamden,CT,17,
Sacred Heart University,Fairfield,CT,17,
University of Saint Joseph,West Hartford,CT,18,
Gateway Community College,New Haven,CT,4,
Southern Connecticut State University,New Haven,CT,18,
Trinity College,Hartford,CT,21,
Tunxis Community College,Farmington,CT,4,
United States Coast Guard Academy,New London,CT,22,
Wesleyan University,Middletown,CT,21,
Western Connecticut State University,Danbury,CT,19,
Yale University,New Haven,CT,15,
Margaret H Rollins School of Nursing at Beebe Medical Center,Lewes,DE,-2,
Dawn Career Institute LLC,Newark,DE,-2,
Delaware Technical Community College-Terry,Dover,DE,14,
Delaware State University,Dover,DE,19,
University of Delaware,Newark,DE,15,
Goldey-Beacom College,Wilmington,DE,18,
Schilling-Douglas School of Hair Design LLC,Newark,DE,-2,
Wilmington University,New Castle,DE,17,
American University,Washington,DC,16,
The Catholic University of America,Washington,DC,16,
University of the District of Columbia,Washington,DC,19,
Pontifical Faculty of the Immaculate Conception at the Dominican House of Studies,Washington,DC,24,
Gallaudet University,Washington,DC,17,
George Washington University,Washington,DC,15,
Georgetown University,Washington,DC,15,
Howard University,Washington,DC,16,
Strayer University-District of Columbia,Washington,DC,20,
National Conservatory of Dramatic Arts,Washington,DC,-2,
Trinity Washington University,Washington,DC,19,
Wesley Theological Seminary,Washington,DC,24,
Atlantic Technical College,Coconut Creek,FL,-2,
The Baptist College of Florida,Graceville,FL,22,
Barry University,Miami,FL,17,
Bethune-Cookman University,Daytona Beach,FL,21,
Lynn University,Boca Raton,FL,18,
