institution,city,state,carnegie_basic,campus
Aveda Institute-Phoenix,Tempe,AZ,-2,
University of North Texas at Dallas,Dallas,TX,18,
Dermal Science International Aesthetics and Nail Academy,Reston,VA,-2,
BridgeValley Community & Technical College,South  Charleston,WV,7,
Northwest College-Medford,Medford,OR,-2,
Houston Training Schools-Gessner,Houston,TX,-2,
Empire Beauty School-Buffalo,Cheektowaga,NY,-2,
Paul Mitchell the School-Toledo,Sylvania,OH,-2,
Georgia Military College,Milledgeville,GA,14,
Beau Monde Academy of Barbering and Cosmetology,Portland,OR,-2,
Fountain of Youth Academy of Cosmetology,Bellevue,PA,-2,
West Coast University-Miami,Doral,FL,26,
Aparicio-Levy Technical College,Tampa,FL,-2,
The Vocational Nursing Institute Inc,Houston,TX,-2,
Hollywood Institute of Beauty Careers-West Palm Beach,West Palm Beach,FL,-2,
Hollywood Institute of Beauty Careers-Casselberry,Casselberry,FL,-2,
Empire Beauty School-Cheltenham,Wyncote,PA,-2,
High Tech High Graduate School of Education,San Diego,CA,32,
Coachella Valley Beauty College-Hemet,Hemet,CA,-2,
Coastal Pines Technical College,Waycross,GA,9,
Studio Beauty School,Spokane Valley,WA,-2,
Latin Beauty Academy,greenacres,FL,-2,
Associated Barber College of San Diego,San Diego,CA,-2,
ABCO Technology,Inglewood,CA,-2,
Lionel University,Carpinteria,CA,13,
California Intercontinental University,Irvine,CA,17,
Infinity College,Lafayette,LA,-2,
Universal Healthcare Careers College,Los Angeles,CA,-2,
New Beginnings Beauty Academy,Pine Bluff,AR,-2,
Dolce The Academy,Waterbury,CT,-2,
American College of the Building Arts,Charleston,SC,32,
River Valley School of Massage,Russellville,AR,-2,
Atlantis University,Miami,FL,19,
Westchester School for Medical & Dental Assistants,Ardsley,NY,-2,
Studio Incamminati,Philadelphia,PA,-2,
Salon Boutique Academy,Addison,TX,-2,
GA Beauty & Barber School,McAllen,TX,-2,
The Recording Conservatory of Austin,Austin,TX,-2,
VH Barber & Styling Academy,Bossier City,LA,-2,
Bet Medrash Gadol Ateret Torah,Brooklyn,NY,24,
Yeshiva Ohr Yisrael,Brooklyn,NY,24,
Yeshiva Sholom Shachna,Brooklyn,NY,24,
Bethlehem College & Seminary,Minneapolis,MN,24,
Elmezzi Graduate School of Molecular Medicine,Manhasset,NY,26,
Theatre of Arts,Hollywood,CA,12,
Westchester College of Nursing & Allied Health,Los Angeles,CA,-2,
Treasure Coast Technical College,Vero Beach,FL,-2,
American College of Barbering,Louisville,KY,-2,
Beth Medrash Meor Yitzchok,Monsey,NY,24,
Mingo Extended Learning Center,Delbarton,WV,-2,
San Ignacio University,Doral,FL,29,
ZMS The Academy,Los Angeles,CA,-2,
Valor Christian College,Canal Winchester,OH,13,
Bethany Global University,Bloomington,MN,24,
HVAC Technical Institute,Chicago,IL,-2,
United International College,Miramar,FL,29,
San Francisco Film School,San Francisco,CA,12,
Center for Ultrasound Research & Education,White Plains,NY,-2,
Culinary Tech Center,White Plains,NY,-2,
Randolph Technical Center,Elkins,WV,-2,
AMG School of Nursing,Brooklyn,NY,-2,
Saint Michael College of Allied Health,Washington,DC,10,
Presidio Graduate School,San Francisco,CA,29,
Sandra Academy of Salon Services,New Tazewell,TN,-2,
Wright Graduate University for the Realization of Human Potential,Elkhorn,WI,32,
California Jazz Conservatory,Berkeley,CA,30,
California Barber and Beauty College,San Diego,CA,-2,
Laredo CHI Academy Beauty School,Laredo,TX,-2,
Florida International Training Institute,Miami,FL,-2,
Gould's Academy,Memphis,TN,-2,0
Gould's Academy,Bartlett,TN,-2,1
Aviation Institute of Maintenance-Fremont,Fremont,CA,-2,
Paul Mitchell the School-Tulsa,Tulsa,OK,-2,
PPG Technical College,Caguas,PR,-2,
Academy of Professional Cosmetology,Rogers,AR,-2,
Empire Beauty School-Northlake,Atlanta,GA,-2,
Ross Medical Education Center-Huntsville,Huntsville,AL,-2,
Ross Medical Education Center-Knoxville,Knoxville,TN,-2,
Ross Medical Education Center-Muncie,Muncie,IN,-2,
Cortiva Institute-Arlington,Arlington,TX,-2,
Tulsa Welding School-Houston,Houston,TX,-2,
Pima Medical Institute-El Paso,El Paso,TX,10,
Pima Medical Institute-Phoenix,Phoenix,AZ,8,
Kennesaw State University,Kennesaw,GA,16,
Entourage Institute of Beauty and Esthetics,Lincoln,NE,-2,
Milligan University,Milligan,TN,19,
Chamberlain University-Nevada,Las Vegas,NV,26,
Chamberlain University-Michigan,Troy,MI,26,
Chamberlain University-New Jersey,North Brunswick,NJ,26,
Hussian College-Los Angeles,Los Angeles,CA,30,
Paul Mitchell the School-Madison,Madison,WI,-2,
The University of Tennessee Health Science Center,Memphis,TN,27,
Unitech Training Academy-New Orleans,New Orleans,LA,-2,
Wade Gordon Hairdressing Academy-Lubbock,Lubbock,TX,-2,
Emory University-Oxford College,Oxford,GA,1,
The Chicago School of Professional Psychology at Xavier University of Louisiana,New Orleans,LA,-2,
Southern Regional Technical College,Thomasville,GA,8,
Texas College of Cosmetology-Lubbock,Lubbock,TX,-2,
Fortis College-Cuyahoga Falls,Cuyahoga Falls,OH,10,
Jones Technical Institute,Jacksonville,FL,9,
Texas State Technical College,Waco,TX,7,
Aveda Institute Portland-Vancouver Campus,Vancouver,WA,-2,
Arizona College of Nursing-Las Vegas,Las Vegas,NV,26,
Florida Career College-Pembroke Pines,Pembroke Pines,FL,10,
Florida Career College-West Palm Beach,West Palm Beach,FL,-2,
Florida Career College-Hialeah,Hialeah,FL,10,
Florida Career College-Lauderdale Lakes,Lauderdale Lakes,FL,10,
Florida Career College-Tampa,Tampa,FL,-2,
Florida Career College-Jacksonville,Jacksonville,FL,-2,
Florida Career College-Boynton Beach,Boynton Beach,FL,10,
Florida Career College-Margate,Margate,FL,-2,
Florida Career College-Orlando,Orlando,FL,-2,
UEI College-Phoenix,Phoenix,AZ,-2,
Florida Career College-Houston,Houston,TX,10,
Aveda Institute-Madison,Madison,WI,-2,
Husson University,Bangor,ME,17,
Tricoci University of Beauty Culture-Elgin,Elgin,IL,-2,
Concorde Career College-Southaven,Southaven,MS,-2,
Universal Technical Institute-Southern California,Long Beach,CA,11,
Northwest University-Center for Online and Extended Education,Kirkland,WA,22,
Celebrity Barber School,Monroe,LA,-2,
California Institute of Advanced Management,Alhambra,CA,29,
The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,-2,
Yeshiva Zichron Aryeh,Far Rockaway,NY,24,
Butte County Regional Occupational Program,Chico,CA,-2,
Arclabs,Piedmont,SC,-2,
Top of the Line Barber College,Charleston,SC,-2,
Midfield Institute of Cosmetology,Midfield,AL,-2,
Felbry College,Columbus,OH,10,
Regional Center for Border Health,Somerton,AZ,-2,
B-Unique Beauty and Barber Academy,Greenville,SC,-2,
Kentucky Horseshoeing School,Richmond,KY,-2,
Image Maker Beauty Institute,Hendersonville,TN,-2,
Dalton Institute of Esthetics and Cosmetology,Dalton,GA,-2,
CAAN Academy of Nursing,Matteson,IL,-2,
Martinsburg College,Martinsburg,WV,10,
Alhambra Medical University,Alhambra,CA,26,
Central Yeshiva Beth Joseph,Brooklyn,NY,24,
Garden State Science and Technology Institute,Jersey City,NJ,-2,
Barber Tech Academy,Orangeburg,SC,-2,
Abraham Lincoln University,Glendale,CA,31,
Med Academy,Hialeah,FL,10,
Huntington University of Health Sciences,Knoxville,TN,23,
Sonoran Desert Institute,Tempe,AZ,11,
Natural Images Beauty College,Clute,TX,-2,
Textures Institute of Cosmetology,Indianapolis,IN,-2,
Learning Bridge Career Institute,Houma,LA,-2,
PiBerry Institute,Homestead,FL,-2,
Ea La Mar's Cosmetology & Barber College,Kansas City,MO,-2,
Regina Webb Academy,Bowling Green,KY,-2,
DeHart Technical School,Modesto,CA,-2,
Medical Career & Technical College,Richmond,KY,-2,
Center for Neurosomatic Studies,Clearwater,FL,-2,
Focus Personal Training Institute,New York,NY,-2,
Hair Academy School of Barbering & Beauty,Newark,DE,-2,
Fosbre Academy of Hair Design,Olympia,WA,-2,
National Personal Training Institute,Orlando,FL,-2,
Mission Beauty Institute,Mission,TX,-2,
Elim Bible Institute and College,Lima,NY,13,
Beth Medrash of Asbury Park,Lakewood,NJ,24,
Hope College of Arts and Sciences,Pompano Beach,FL,10,
Yeshiva Gedolah Shaarei Shmuel,Lakewood,NJ,24,
Premier Barber Institute,Norristown,PA,-2,
International Beauty Education Center,Airway Heights,WA,-2,
Claremont Lincoln University,Claremont,CA,29,
Phipps Academy of Barbering,Richton Park,IL,-2,
Hoss Lee Academy,Roseville,CA,-2,
Indiana Wellness College,Carmel,IN,-2,
Kenny's Academy of Barbering,Indianapolis,IN,-2,
Seattle Film Institute,Seattle,WA,30,
Arkansas Colleges of Health Education,Fort Smith,AR,25,
Burrell College of Osteopathic Medicine,Las Cruces,NM,25,
California College of Music,Pasadena,CA,-2,
California Health Sciences University,Clovis,CA,26,
Christian Culinary Academy,Cannon Beach,OR,-2,
Glitz School of Cosmetology,Las Cruces,NM,-2,
Indiana Wesleyan University-National & Global,Marion,IN,17,
NationsUniversity,New Orleans,LA,-2,
Northeast Lakeview College,Universal City,TX,2,
Paul Mitchell the School-Jessup,Jessup,MD,-2,
John Patrick University of Health and Applied Sciences,South Bend,IN,26,
University of Saint Katherine,San Marcos,CA,22,
Teachers College of San Joaquin,Stockton,CA,32,
U.S. Truck Driver Training School,Sterling Heights,MI,-2,
University of the People,Pasadena,CA,18,
South Dade Technical College-South Dade Skills Center Campus,HOMESTEAD,FL,-2,
Wongu University of Oriental Medicine,Las Vegas,NV,26,
Alabama School of Nail Technology & Cosmetology,Jackson,AL,-2,
Tulsa Technology Center,Tulsa,OK,-2,
Ross Medical Education Center-Elyria,Elyria,OH,-2,
Ross Medical Education Center-Lafayette,Lafayette,IN,-2,
Ross Medical Education Center-Midland,Midland,MI,-2,
Paul Mitchell the School-Clear Lake,Webster,TX,-2,
Paul Mitchell the School-Nampa,Nampa,ID,-2,
Kenneth Shuler School of Cosmetology-Goose Creek,Goose Creek,SC,-2,
Boca Beauty Academy-Parkland,Parkland,FL,-2,
American Beauty Academy-West Valley Campus,West Valley City,UT,-2,
Caribbean Aviation Training Institute Inc,Carolina,PR,-2,
The College of Health Care Professions-McAllen Campus,McAllen,TX,10,
Institute of Buddhist Studies,Berkeley,CA,-2,
Chamberlain University-North Carolina,Charlotte,NC,26,
Chamberlain University-California,Rancho Cordova,CA,26,
Purdue University Global,West Lafayette,IN,17,
Pima Medical Institute-Dillon,Dillon,MT,10,
West Coast University-Center for Graduate Studies,Los Angeles,CA,26,
Carolina University,Winston-Salem,NC,20,
National Personal Training Institute-Tampa,Tampa,FL,-2,
Presbyterian Theological Seminary in America,Santa Fe Springs,CA,24,
HCI College,West Palm Beach,FL,26,
America Evangelical University,Gardena,CA,24,
Gadsden Technical College,Quincy,FL,-2,
Virginia University of Integrative Medicine,Vienna,VA,26,
Nashville Film Institute,Nashville,TN,-2,
Los Angeles Academy of Figurative Art,Van Nuys,CA,30,
Westcliff University,Irvine,CA,29,
World Class Academy of Beauty Careers,Tallahassee,FL,-2,
Allied Health Careers Institute,Murfreesboro,TN,-2,
Sacramento Ultrasound Institute,Sacramento,CA,-2,
Regan Career Institute,El Monte,CA,-2,
Bolivar Technical College,Bolivar,MO,10,
MAK Beauty Institute,Cumming,GA,-2,
Reformed University,Lawrenceville,GA,24,
Mobile Technical Training,South Hackensack,NJ,-2,
American Barber and Beauty Academy,Reading,PA,-2,
Master's Barber & Styling College,Old Hickory,TN,-2,
Yeshiva Shaar Ephraim,Monsey,NY,24,
California Institute of Arts & Technology,San Diego,CA,11,
Elite Cosmetology Barber & Spa Academy,Yakima,WA,-2,
Cutting Edge Academy,Succasunna,NJ,-2,
Yeshiva Bais Aharon,Lakewood,NJ,24,
Mechon L'hoyroa,Monsey,NY,24,
Elyon College,Brooklyn,NY,13,
Western Michigan University Homer Stryker M.D. School of Medicine,Kalamazoo,MI,25,
Harmony Health Care Institute,Merrimack,NH,-2,
American Beauty Schools,Miami,FL,-2,
Hogan Institute of Cosmetology and Esthetics,Lilburn,GA,-2,
J's Barber College,New Iberia,LA,-2,
Ann Webb Skin Institute,Austin,TX,-2,
Apex Academy Hair Skin Nails School of Cosmetology,Ontario,OH,-2,
The Esthetic Institute,Vienna,VA,-2,
Kor Beauty Academy,Peoria,AZ,-2,
EduMed Partners,Goodlettsville,TN,-2,
Massage Institute of Memphis,Memphis,TN,-2,
Metro Detroit Barber College,Detroit,MI,-2,
Digital Media Institute,Shreveport,LA,-2,
Yeshiva Ohr Naftoli,New Windsor,NY,24,
Bais Medrash Mayan Hatorah,Lakewood,NJ,24,
Allgood Beauty Institute,Frisco,TX,-2,
Ray J's College of Hair,Baton Rouge,LA,-2,
Gwinnett Institute,Orlando,FL,10,
Manuel and Theresa's School of Hair Design,Brenham,TX,-2,
Cincinnati School of Barbering & Hair Design,Cincinnati,OH,-2,
L Makeup Institute,Las Vegas,NV,-2,
Northern Technical College,Pine Bluff,AR,-2,
Maine Media College,Rockport,ME,30,
Purdue University Northwest,Hammond,IN,18,
Ross Medical Education Center - Kalamazoo,Kalamazoo,MI,-2,
Ross College-Canton,Canton,OH,7,
Ross College-Grand Rapids North,Grand Rapids,MI,-2,
American Institute-Somerset,Somerset,NJ,-2,
Platt College-Anaheim,Anaheim,CA,23,
Advantage Career Institute,Eatontown,NJ,-2,
Bull City Durham Beauty and Barber College,Durham,NC,-2,
Fortis College-Cutler Bay,Cutler Bay,FL,10,
Yeshiva Kollel Tifereth Elizer,Brooklyn,NY,24,
Strand Institute of Beauty & Esthetics,Portland,TX,-2,
Arkansas Welding Academy,Jacksonville,AR,-2,
Unitech Training Academy-Baton Rouge,Baton Rouge,LA,-2,
Empire Beauty School-Tampa,Tampa,FL,-2,
Empire Beauty School-Lakeland,Lakeland,FL,-2,
Galen College of Nursing-ARH,Hazard,KY,10,
The Chicago School of Professional Psychology at San Diego,San Diego,CA,26,
Commercial Divers International,Goodyear,AZ,-2,
Tricoci University of Beauty Culture-Janesville,Janesville,WI,-2,
Unlimited Cosmetology School,Hattiesburg,MS,-2,
Johnny Matthew's Hairdressing Training School,Salem,OR,-2,
The Culinary School of Fort Worth,Fort Worth,TX,-2,
Centralia Beauty College,Centralia,WA,-2,
University of Wisconsin-Milwaukee Flex,Milwaukee,WI,22,
University of Wisconsin-Parkside Flex,Kenosha,WI,29,
Miller-Motte College-Edge Tech Academy,Arlington,TX,-2,
Bnos Zion Of Bobov Seminary,Brooklyn,NY,13,
ABC Adult School,Cerritos,CA,-2,
Polytech Adult Education,Woodside,DE,-2,
California Institute of Medical Science,Clovis,CA,-2,
Union Bible College,Westfield,IN,24,
Pets Playground Grooming School,Pompano Beach,FL,-2,
San Bernardino Beauty College,San Bernardino,CA,-2,
Christina and Company Education Center,Lafayette,IN,-2,
Institute of Medical Ultrasound,Atlanta,GA,-2,
Mystros Barber Academy,Houston,TX,-2,
European Medical School of Massage,Sinking Spring,PA,-2,
Yeshiva Gedolah Tiferes Boruch,North Plainfield,NJ,-2,
Yeshiva Chemdas Hatorah,Lakewood,NJ,24,
Women's Institute of Torah Seminary and College,Baltimore,MD,24,
Yeshiva Gedolah Keren Hatorah,Lakewood,NJ,13,
ICOHS College,San Diego,CA,-2,
Neo-Esthetique European Institute,San Juan,PR,-2,
Lehigh Valley Barber School,Bethlehem,PA,-2,
International Barber College,Chandler,AZ,-2,
Brown Beauty Barber School,Bessemer,AL,-2,
Rexburg College of Massage Therapy,Rexburg,ID,-2,
Yeshiva Gedolah of Cliffwood,Keyport,NJ,24,
Goshen School of Cosmetology,Cleveland,MS,-2,
IBS School of Cosmetology and Massage,Kahului,HI,-2,
UR Beauty & Barber Academy,Sebring,FL,-2,
Urban Barber College,Concord,CA,-2,
Yeshivas Emek Hatorah,Howell,NJ,-2,
Transitions Career Institute School of Nursing,Flushing,NY,-2,
Wilton Simpson Technical College,Brooksville,FL,-2,0
Wilton Simpson Technical College,Brooksville,FL,,1
Stacey James Institute,Parker,CO,-2,
Meridian University,Petaluma,CA,26,
Seminary Bnos Chaim,Lakewood,NJ,13,
Avenue Academy A Cosmetology Institute,Albuquerque,NM,-2,
Salon Professional Academy of San Antonio,San Antonio,TX,-2,
Red Lake Nation College,Red Lake,MN,33,
Princess Institute of Beauty,Reedley,CA,-2,
Vogue International Academy,Houston,TX,-2,
Independent Training & Apprenticeship Program,Sacramento,CA,-2,
Victory Career College,Torrance,CA,-2,
Winonah's International School of Cosmetology,Hoover,AL,-2,
Yeshiva Gedola Tiferes Yerachmiel,Lakewood,NJ,13,
Southeastern Esthetics Institute,Columbia,SC,-2,
Installer Institute,Holly Hill,FL,-2,
Caris College,Jeffersonville,IN,10,
Contra Costa Medical Career College,Antioch,CA,-2,
Another Level Barbering and Cosmetology School,Petersburg,VA,-2,
The Salon Professional Academy-Georgetown,Georgetown,TX,-2,
Elite Academy of Hair Design,Bridgeport,OH,-2,
Americare Technical School,Park Ridge,IL,-2,
Amslee Institute,Sarasota,FL,-2,
Champion Christian College,Hot Springs,AR,23,
Chicago Professional Center,Prospect Heights,IL,-2,
D&S School of Cosmetology,Waterford,MI,-2,
DSDT,Detroit,MI,-2,
Elite Beauty College,Muskogee,OK,-2,
Reiss-Davis Graduate School,Los Angeles,CA,-2,
GoodFellas Barber College,Little Rock,AR,-2,
Escondido Adult School,Escondido,CA,-2,
Poway Adult School,Poway,CA,-2,
Vista Adult School,Vista,CA,-2,
The Salon Professional Academy-Delray Beach,Delray Beach,FL,-2,
No Grease Barber School,Charlotte,NC,-2,
Pima Medical Institute-San Marcos,San Marcos,CA,10,
EDP University of Puerto Rico-Villalba,Villalba,PR,13,
Chicago School of Professional Psychology at Dallas,Richardson,TX,26,
American Massage & Bodywork Institute,Vienna,VA,-2,
KCK Beauty & Barber Academy,Jacksonville,FL,-2,
California College of Barbering and Cosmetology,Stockton,CA,-2,
Texas Tech University Health Sciences Center-El Paso,El Paso,TX,25,
Ponce Health Sciences University-Centro Universitario de San Juan,Santurce,PR,26,
The College of Health Care Professions-South San Antonio,San Antonio,TX,10,
Chamberlain University-Louisiana,Jefferson,LA,-2,
Drury University-College of Continuing Professional Studies,Springfield,MO,22,
Global Medical & Technical Training Institute,Miami,FL,-2,
Salon Success Academy-West Covina,West Covina,CA,-2,
Indiana Institute of Technology-College of Professional Studies,Fort Wayne,IN,22,
Universal Technical Institute-Bloomfield,Bloomfield,NJ,-2,
Urban Academy of Beauty,Rio Rancho,NM,-2,
WellSpring School of Allied Health-Springfield,Springfield,MO,-2,
Medical Career College of Northern California,Roseville,CA,-2,
Premiere International College,Fort Myers,FL,-2,
San Diego Global Knowledge University,San Diego,CA,29,
Global Tech College,Toledo,OH,-2,
Crown Cutz Academy Bristol,Bristol,VA,-2,
MCI,McAllen,TX,-2,
Central Pennsylvania Diesel Institute,Liverpool,PA,-2,
Bellasa Professional Institute,North Miami,FL,-2,
PMCA Pittsburgh Multicultural Cosmetology Academy,Pittsburgh,PA,-2,
Health and Technology Training Institute,Philadelphia,PA,-2,
Yeshiva of Ocean,Greenfield Park,NY,24,
Congregation Talmidei Mesivta Tiferes Shmiel Aleksander,Brooklyn,NY,24,
Young Americans College of the Performing Arts,Corona,CA,12,
Pro Beauty Academy,Edison,NJ,-2,
South Eastern Beauty Academy,Paintsville,KY,-2,
Ohel Margulia Seminary,Monsey,NY,13,
Montana Barber Institute,El Paso,TX,-2,
Yeshivat Hechal Shemuel,Brooklyn,NY,24,
Professional University Dr. Carlos J. Borrero Rios,Hato Rey,PR,26,
American Institute of Healthcare & Technology,Stratford,CT,-2,
Premier Academy of Cosmetology,McAlester,OK,-2,
Yeshiva Gedolah of Woodlake Village,Lakewood,NJ,24,
Yeshiva Gedola Tiferes Yaakov Yitzchok,Lakewood,NJ,24,
Houston Barber School,Houston,TX,-2,
Health-Tech Institute of Memphis,Memphis,TN,-2,
MIXED Institute of Cosmetology & Barber,Sacramento,CA,-2,
Vski Cosmetology School,Charleston,SC,-2,
New York Seminary,Brooklyn,NY,-2,
Deluxe Barber College,San Antonio,TX,-2,
Falcon Institute of Health and Science,Bethlehem,PA,-2,
College Unbound,Providence,RI,32,
Midwest Barber College,Topeka,KS,-2,
A Better U Beauty Barber Academy,Albuquerque,NM,-2,
SANS Technology Institute,North Bethesda,MD,28,
Tuana European Beauty Academy,Fort Collins,CO,-2,
Idaho College of Osteopathic Medicine,Meridian,ID,-2,
Southern Careers Institute-Waco,Waco,TX,-2,
Ponce Health Sciences University-St Louis,St. Louis,MO,26,
Lil Lou's Beauty and Barber College-Hammond,Hammond,IN,-2,
Arizona College of Nursing-Dallas,Dallas,TX,-2,
The Salon Professional Academy-Washington DC,Washington,DC,-2,
Valley College-Cleveland,Cleveland,OH,-2,
EDP University of Puerto Rico-Humacao,Humacao,PR,13,
EDP University of Puerto Rico-Manati,Manati,PR,26,
UEI College-Sacramento,Sacramento,CA,-2,
Fortis Institute-Cookeville,Cookeville,TN,10,
Derech Hachaim Seminary,Monroe,NY,-2,
Evvaylois Academy School of Beauty,Brenham,TX,-2,
Avenue Five Institute-South Austin Campus,Austin,TX,-2,
Glasgow Caledonian New York College,New York,NY,20,
Pima Medical Institute-San Antonio,San Antonio,TX,-2,
Faith Theological Seminary and Christian College,Tampa,FL,-2,
The Southwestern Baptist Theological Seminary,Fort Worth,TX,-2,
Lotus Professional College,Richmond,VA,-2,
Christ Mission College,San Antonio,TX,24,
Esteem Academy of Beauty,South Ogden,UT,-2,
KC Beauty Academy,Los Angeles,CA,-2,
Urshan College,Wentzville,MO,22,
Texas Healthtech Institute,Beaumont,TX,-2,
Xtylo Beauty College,Phoenix,AZ,-2,0
Xtylo Beauty College,Tolleson,AZ,-2,1
Tonsorial Arts Barber College,Texarkana,TX,-2,
Michael's Barber & Hair Stylist Academy,Irving,TX,-2,
Yeshiva Yesoda Hatorah Vetz Chaim,Brooklyn,NY,24,
North-West College-San Diego,San Diego,CA,10,
Aviation Institute of Maintenance-Charlotte,Charlotte,NC,-2,
Ponce Health Sciences University-East,Ponce,PR,26,
Fortis College-Landover,Landover,MD,10,
Stautzenberger College-Rockford Career College,Rockford,IL,9,
WellSpring School of Allied Health-Wichita,Wichita,KS,10,
Access Careers-Islandia,Islandia,NY,-2,
Northern Pennsylvania Regional College,Warren,PA,3,
Apex College of Veterinary Technology,Colorado Springs,CO,13,
Meryma'at Barber College,Cleveland,OH,-2,
Western Maricopa Education Center,Glendale,AZ,-2,
Bais Medrash of Dexter Park,Chestnut Ridge,NY,24,
Makana Esthetics Wellness Academy,Honolulu,HI,-2,
Oak Valley College,Rialto,CA,29,
Paul Mitchell the School-San Jose,San Jose,CA,-2,
Zion Massage College,St. George,UT,-2,
Great Lakes Boat Building School,Cedarville,MI,-2,
Austin Career Institute,Austin,TX,-2,
Professional Culinary Academy,Buffalo,NY,-2,
Pacific Northwest Christian College,Kennewick,WA,-2,
Royal Learning Institute,New York,NY,-2,0
Royal Learning Institute,Jackson Heights,NY,-2,1
Hollywood Cultural College,Los Angeles,CA,-2,
Mariano Moreno Culinary Institute,Miami,FL,-2,
Alder Graduate School of Education,Redwood City,CA,-2,
Webb's Barber School of Arts,Macon,GA,-2,
Adrian H. Wallace Barber Academy,Pensacola,FL,-2,
St. Louis Med Tech,St. Louis,MO,-2,
Total Beauty Institute,Jacksonville,FL,-2,
Pearlands Innovative School of Beauty,Pearland,TX,-2,
Durant Institute of Hair Design,Durant,OK,-2,
Premiere Aesthetics Institute,Bend,OR,-2,
California Indian Nations College,Palm Desert,CA,3,
Indian Bible College,Flagstaff,AZ,13,
Florida Professional Institute,Miami,FL,-2,
The Professional Cosmetology Academy,Laredo,TX,-2,
Hackensack Meridian School of Medicine,Nutley,NJ,-2,
Taylor Andrews Academy of Hair Design-Hair Lab Detroit Barber School,Southgate,MI,-2,
Paul Mitchell the School-North Tahoe,Truckee,CA,-2,
Paul Mitchell the School-Fort Lauderdale,Plantation,FL,-2,
PCI Academy-Iowa City,Iowa City,IA,-2,
Paul Mitchell the School-Provo,Provo,UT,-2,
Arizona College of Nursing-Tampa,Tampa,FL,-2,
Arizona College of Nursing-Fort Lauderdale,Fort Lauderdale,FL,-2,
Arizona College of Nursing-Tucson,Tucson,AZ,-2,
Arizona College of Nursing-Phoenix,Phoenix,AZ,-2,
Empire Beauty School-Newport News,Newport News,VA,-2,
Tricoci University of Beauty Culture-Normal,Normal,IL,-2,
Elite Welding Academy,Houston,TX,-2,
Paul Mitchell the School-Murfreesboro-Nashville,Hendersonville,TN,-2,
Dorsey College-Woodhaven,Woodhaven,MI,-2,
San Joaquin Valley College-Madera,Madera,CA,-2,
San Joaquin Valley College-Delano,Delano,CA,-2,
San Joaquin Valley College-Atascadero,Atascadero,CA,-2,
San Joaquin Valley College-Rancho Mirage,Rancho Mirage,CA,-2,
San Joaquin Valley College-Santa Maria,Santa Maria,CA,-2,
Advantage Technical College-Aguadilla,Aguadilla,PR,-2,
San Joaquin Valley College-Porterville,Porterville,CA,-2,
California University of Science and Medicine,Colton,CA,25,
Ruben's Five Star Academy,Lake Wales,FL,-2,
Mason Anthony School of Cosmetology Arts & Sciences,Columbus,OH,-2,
California Institute of Arts & Technology-National City,National City,CA,11,
Triangle Tech-Chambersburg,Chambersburg,PA,-2,
Provo College-Idaho Falls Campus,Idaho Falls,ID,-2,
Eagle Gate College-Boise Campus,Boise,ID,-2,
Elite Welding Academy South Point,South Point,OH,-2,
Agape College of Business and Science,Fresno,CA,-2,
Daybreak University,Anaheim,CA,-2,
Motion Picture Institute,Troy,MI,-2,
Zen Shiatsu Chicago,Evanston,IL,-2,
The  Salon Professional Academy of Holland,Holland,MI,-2,
National Institute for Medical Assistant Advancement (NIMAA),Denver,CO,-2,
California Northstate University,Elk Grove,CA,-2,
Antigua College International,Miami Lakes,FL,-2,
Burlington County Institute of Technology-Adult Education,Westampton,NJ,-2,
Sri Sai Krish Institute,Stanton,CA,-2,
Riggins Urban Barber College,San Diego,CA,-2,
Hair Arts Institute,Oklahoma City,OK,-2,
Florida Academy of Nursing,Miramar,FL,-2,
Body Wisdom Massage Therapy School,Urbandale,IA,-2,
Lakewood University,Cleveland Heights,OH,-2,
CTK Healthcare & Career Institute,Irving,TX,-2,
Aesthetics Institute,St. Louis,MO,-2,
Sierra Academy of Style,Carson City,NV,-2,
Institute of Allied Healthcare,San Antonio,TX,-2,
NewU University,Washington,DC,-2,
Branford Academy of Hair & Cosmetology-Bridgeport,Bridgeport,CT,-2,
United Education Institute-Las Vegas,Las Vegas,NV,-2,
UEI College-Mesa,Mesa,AZ,-2,
Larry's Barber College-Joliet,Joliet,IL,-2,
Herzing University-Tampa,Tampa,FL,-2,
Galen Health Institutes-Miami Campus,Pembroke Pines,FL,-2,
Remington College-Knoxville,Knoxville,TN,-2,
Abilene Christian University-Undergraduate Online,Addison,TX,-2,
Madera Community College,Madera,CA,-2,
Ogle School Hair Skin Nails-Willowbrook,Houston,TX,-2,
University of Silicon Andhra,Milpitas,CA,-2,
Galen Health Institutes-Austin Campus,Austin,TX,-2,
Galen Health Institutes-Nashville Campus,Nashville,TN,-2,
Ohio Business College-Dayton-Driving Academy,Trotwood,OH,-2,
The Rapha School,Home,PA,-2,
Academy of Allied Health Careers,Chattanooga,TN,-2,
Mei Barber School,Brownsville,TX,-2,
Great Northern University,Spokane,WA,-2,
Salon Professional Academy-Elevate Salon Institute,Miami Beach,FL,-2,
Arizona College of Nursing-Salt Lake City,Murray,UT,-2,
Arizona College-Glendale,Glendale,AZ,-2,
Universal Technical Institute-West Texas,Austin,TX,-2,
Avalon Institute-Las Vegas,Las Vegas,NV,-2,
Medspa Academies-National Institute of Modern Aesthetics,Las Vegas,NV,-2,
American Institute-Cherry Hill,Cherry Hill,NJ,-2,
